Brand,Vehicle_model,segment,number_of_seats,Vehicle_Range_KM,Vehicle_Efficiency,weight__kg,1-Stop Range,SEC,Battery,Fastcharge,Towing,Cargo,Price/range,Germany_price,Netherland_price,England_price
Tesla,Model 3 RWD CATL,D,5,400,143,1835,468,6.1,57.0,100,1000,649,114,44668,42993,42990
Geely,EX5Geely EX5 Available to,C,5,330,182,1815,365,6.9,60.22,95,0,461,111,0,0,31990
Mini,Cooper EMini Cooper E,B,4,250,146,1615,267,7.3,36.6,60,0,200,138,32900,35990,30000
BYD,DOLPHIN SURF 43 2,B,4,265,163,1465,275,9.1,43.2,60,0,308,107,30990,26690,23950
Mercedes,Benz CLA Shooting Brake,D,5,565,150,2075,738,6.8,85.0,235,1500,556,99,57096,54986,47750
Kia,e Niro 64 kWhKia,C,5,375,171,1812,349,7.8,64.0,64,300,451,108,42790,38995,34995
BYD,SEALION 7 82 5,D,5,420,196,2300,440,6.7,82.5,115,750,578,121,47990,50690,46990
Changan,Deepal S07 StandardChangan Deepal,D,5,410,190,2148,386,7.9,77.97,70,1500,635,111,44990,0,39990
Tesla,Model 3 Long Range,D,5,465,155,1919,534,4.4,72.0,108,1000,649,121,53560,57990,49990
Audi,Q4 e tron 45Audi,C,5,420,183,2145,460,6.7,77.0,120,1000,520,129,52950,49990,51310
Tesla,Model S PlaidTesla Model,F,5,560,170,2265,636,2.4,95.0,140,1600,798,212,120970,120990,100000
Hyundai,Kona Electric 64 kWh,B,5,390,164,1760,363,7.9,64.0,64,0,361,110,41850,41595,39150
Omoda,E5Omoda E5 Available to,C,5,330,178,1785,350,7.6,58.9,80,0,380,103,0,29990,33055
Audi,A6 Avant e tron,E,5,575,165,2260,688,5.4,94.9,186,2100,529,138,77250,77490,71740
Renault,4 E Tech 52kWh,B,5,315,165,1537,330,8.2,52.0,75,750,420,98,32400,32990,23445
Ford,Puma Gen EFord Puma,B,5,275,159,1563,312,8.0,43.6,85,750,566,124,36900,35495,26245
BYD,DOLPHIN 60 4 kWh,C,5,350,173,1733,338,7.0,60.48,65,0,345,100,32990,36990,30195
Audi,Q4 e tron 40Audi,C,5,405,189,2125,430,8.5,76.6,125,1000,520,140,51900,59415,50630
Kia,EV6 Long Range AWDKia,C,5,440,182,2160,549,5.2,80.0,205,1800,510,128,53990,55495,52085
Citroën,ë C3 Standard Range,B,5,255,172,1491,271,11.5,43.8,62,550,310,96,23300,24700,22295
BMW,iX xDrive50BMW iX xDrive50,E,5,505,208,2585,538,4.6,105.2,149,2500,500,213,100100,105097,102755
XPENG,G6 RWD Long Range,D,5,480,182,2100,574,6.7,87.5,180,1500,571,104,47600,49990,44990
BMW,i3 120 AhBMW i3,B,4,235,161,1345,222,7.3,37.9,46,0,260,167,39000,39939,33805
MG,MG4 Electric 51 kWh,C,5,300,169,1710,306,7.7,50.8,68,500,363,111,34990,33970,27245
BMW,iX1 eDrive20 MY26 BMW,C,5,400,163,1940,429,8.3,65.2,95,750,490,122,49400,46405,43555
Tesla,Model Y Long Range,D,5,470,160,1976,552,5.6,75.0,124,1600,971,112,50970,50990,48990
Volkswagen,ID 7 Pro MY24,E,5,475,162,2172,541,6.5,77.0,125,1000,532,114,53995,48990,51550
BMW,iX1 eDrive20 MY23 25,C,5,390,166,1940,418,8.3,64.7,93,750,490,129,47900,50620,45465
Tesla,Model 3 Premium AWD,D,5,555,142,1899,654,4.4,79.0,120,1000,682,96,50970,50990,49990
Mercedes,Benz EQA 250Mercedes Benz,C,5,395,168,2045,405,8.6,66.5,100,1500,340,129,50777,0,0
BMW,i4 eDrive40BMW i4 eDrive40,D,5,525,155,2120,595,5.6,81.3,130,1600,470,123,60600,64330,59465
Mini,Countryman E MY24 25,C,5,385,168,1940,412,8.6,64.7,93,750,460,104,43500,43490,29255
Rolls,Royce SpectreRolls Royce Spectre,F,4,465,219,2965,494,4.5,102.0,126,0,380,828,379015,396275,330000
MG,ZS EV Long RangeMG,B,5,370,185,1695,352,8.4,68.3,82,500,448,105,37990,40185,32995
Tesla,Model 3 Long Range,D,5,525,143,1899,629,4.4,75.0,124,1000,682,101,49990,50990,49990
Audi,A6 Sportback e tron,E,5,600,158,2250,718,5.4,94.9,186,2100,529,129,75600,75990,69940
Volvo,EX60 P10 AWD MY27,D,5,500,182,2350,620,4.6,91.0,215,2400,575,135,65990,66995,59860
Ford,Explorer Extended Range RWD,C,5,450,176,2090,500,6.4,79.0,135,1200,532,103,48900,43850,0
BMW,i4 M50BMW i4 M50,D,5,450,179,2290,510,3.9,80.7,131,1600,470,170,70800,76786,71085
Mazda,6e Long Range 80,D,5,460,170,2037,437,7.8,77.97,70,1500,526,101,46500,46590,0
Dongfeng,Box 42 3 kWhDongfeng,B,5,255,157,1430,254,12.5,40.0,51,750,326,96,0,24499,0
Nissan,LEAF Extended Range 75,C,5,455,165,1981,487,7.6,75.0,103,975,437,89,42000,43000,32249
BYD,SEAL U 87 kWh,D,5,425,205,2222,418,9.6,87.0,85,1300,552,107,44990,45990,0
Mercedes,Benz CLA 200Mercedes Benz,D,5,400,145,2045,493,7.5,58.0,125,1500,506,122,49421,48109,0
BYD,SEAL 82 5 kWh,D,5,480,172,2130,507,5.9,82.5,100,750,453,104,48990,48690,45695
Volvo,EX60 P6 MY27 Volvo,D,5,455,176,2190,562,5.9,80.0,190,2000,575,141,62990,63995,56860
Volkswagen,ID 3 Pure MY24,C,5,325,160,1787,376,8.2,52.0,90,0,385,100,33330,29990,29360
Hyundai,IONIQ 6 63 kWh,D,5,420,143,1892,526,8.3,60.0,150,750,446,108,45550,0,0
TOGG,T10F Long Range RWDTOGG,D,5,490,173,2154,531,7.5,85.0,115,0,505,82,40118,0,0
Polestar,2 Long Range Single,D,5,420,179,2069,451,7.4,75.0,108,1500,440,124,50995,52200,46450
Peugeot,e 2008 54 kWh,B,5,300,169,1623,327,9.1,50.8,79,0,434,129,40550,36700,33900
Audi,e tron 50 quattroAudi,E,5,280,231,2445,299,6.8,64.7,114,1800,722,240,69100,62700,60600
Tesla,Model 3 PerformanceTesla Model,D,5,470,162,1919,555,3.6,76.0,135,0,649,137,59560,64990,59990
Volkswagen,ID 7 Tourer Pro,E,5,520,165,2235,589,6.7,86.0,145,1000,605,116,59895,57990,55280
Tesla,Model S 100DTesla Model,F,5,485,196,2290,486,4.3,95.0,100,0,895,223,108420,113320,89650
Polestar,4 Long Range Single,E,5,495,190,2305,533,7.4,94.0,135,1500,541,133,63200,64800,59990
XPENG,P7 RWD Long Range,E,5,445,164,2175,588,6.2,73.0,260,1500,573,111,49600,48990,0
MG,MG5 Electric Long RangeMG,C,5,335,171,1637,325,7.7,57.4,60,500,479,113,38490,39650,30995
Volkswagen,ID 3 Pro S,C,5,475,166,1957,536,7.1,79.0,135,0,385,88,44025,39990,35495
Ford,Explorer Extended Range RWD,C,5,435,177,2090,452,6.4,77.0,120,1000,536,112,48510,44850,45875
Audi,Q6 SUV e tron,D,5,480,198,2400,558,5.9,94.9,186,2400,590,161,74700,77950,68975
Volkswagen,ID 4 Pro MY26,C,5,445,173,2139,490,6.7,77.0,120,1000,543,99,46335,44990,35495
Citroën,C5 Aircross Long RangeCitroen,C,5,485,200,2246,492,8.8,96.9,135,1200,565,85,0,45000,32935
BYD,ATTO 2 64 8,B,5,305,190,1795,340,7.9,58.0,100,750,450,130,41990,36690,34950
Hyundai,IONIQ 5 63 kWh,C,5,345,174,1955,423,8.5,60.0,150,750,577,128,43900,42995,39900
Hyundai,IONIQ 6 Long Range,D,5,495,149,1985,637,7.4,74.0,200,1500,446,107,54000,50895,47050
Maserati,Grecale Folgore MY26 Maserati,E,5,450,219,2555,450,4.1,98.6,110,1800,535,247,109230,110650,99150
BMW,i4 eDrive35BMW i4 eDrive35,D,5,430,156,2065,487,6.0,67.0,1,1600,470,134,56500,59362,49995
Nissan,Ariya 87kWhNissan Ariya 87kWh,C,5,450,193,2121,435,7.6,87.0,80,750,468,104,53490,45690,35500
Škoda,Enyaq iV 60 MY21,C,5,340,171,1965,361,8.7,58.0,82,1000,585,129,42100,44990,38970
BMW,i4 eDrive35BMW i4 eDrive35,D,5,430,156,2075,486,6.0,67.1,95,1600,470,137,57500,59728,51270
Hongqi,E HS9 99 kWhHongqi,F,5,370,243,2705,367,4.9,90.0,112,1500,438,216,0,79995,0
Polestar,2 Long Range Dual,D,5,390,192,2188,419,4.7,75.0,108,1500,440,144,54995,56200,49550
Mini,Cooper SEMini Cooper SE,B,4,180,161,1440,183,7.3,28.9,44,0,211,207,35700,38690,32550
Toyota,bZ4X FWD MY22 24,C,5,350,183,1970,384,7.5,64.0,100,750,452,125,42900,45995,36995
Kia,EV9 99 8 kWh,F,7,435,221,2625,485,6.0,96.0,2,2500,385,162,68990,72295,0
Mercedes,Benz G 580Mercedes Benz,F,5,395,294,3085,394,4.7,116.0,150,0,555,465,142622,200303,180860
Leapmotor,C10 AWD 81 9,D,5,380,216,2264,405,4.0,81.9,120,1500,467,118,44900,45050,0
Opel,Frontera Electric 44 kWhOpel,B,5,240,183,1589,250,12.1,43.8,62,350,460,118,28990,29999,22495
BYD,SEAL U 71 8,D,5,360,199,2095,352,9.3,71.8,72,1300,552,118,41990,42990,0
Tesla,Model S Plaid MY26,F,5,565,168,2272,639,2.4,95.0,140,0,798,214,120970,120990,0
Renault,Megane E Tech EV60,C,5,380,158,1719,410,7.4,60.0,87,900,440,101,40990,37990,31295
Tesla,Model 3 Performance Highland,D,5,515,153,1929,603,3.4,79.0,120,0,682,121,59470,58490,59990
Mini,Countryman E MY26 Mini,C,5,400,163,1940,427,8.6,65.2,93,750,460,94,38120,40990,29255
Zeekr,7GT Privilege AWD MY26,D,5,515,186,2480,671,3.3,96.0,260,1600,488,115,60450,58490,0
Volkswagen,ID 3 ProVolkswagen ID,C,5,350,166,1815,378,7.3,58.0,82,0,385,125,39995,39990,44990
Renault,Scenic E Tech EV87,C,5,480,181,1917,481,7.9,87.0,95,1100,545,100,48900,47970,40995
Tesla,Model S 75DTesla Model,F,5,380,191,2183,386,4.4,72.5,80,0,804,216,71019,91720,72350
Tesla,Model Y Long Range,D,5,425,169,2056,484,5.0,72.0,1,1600,971,147,59965,65010,0
Hyundai,IONIQ 5 84 kWh,C,5,445,180,2165,553,5.3,80.0,205,1600,544,134,59400,61395,50900
BMW,iX xDrive60BMW iX xDrive60,E,5,525,208,2580,554,4.6,109.1,150,2500,500,195,99900,99900,93105
BMW,i5 eDrive40 Sedan MY23,E,5,470,173,2205,535,6.0,81.2,136,1500,490,166,70200,78608,74105
CUPRA,Tavascan EnduranceCUPRA Tavascan Endurance,C,5,445,173,2178,467,6.8,77.0,120,1000,540,120,56210,48990,47340
Škoda,Enyaq 85 MY24 Skoda,C,5,450,171,2137,467,6.7,77.0,120,1000,585,112,48900,50990,44540
Opel,Zafira e Life M,N,9,265,260,2131,252,13.3,69.0,79,1000,,256,69250,66198,0
Hyundai,IONIQ 9 Long Range,F,7,495,214,2653,567,6.7,106.0,195,2500,390,160,81500,71995,73495
Mercedes,Benz EQA 250 Mercedes,C,5,420,168,2050,414,8.6,70.5,90,1500,340,126,52205,48936,49750
Nissan,LEAF 40 kWh MY18,C,5,235,166,1580,218,7.9,39.0,40,0,435,136,29990,33340,28290
Peugeot,e 3008 73 kWhPeugeot,C,5,380,192,2183,397,8.8,73.0,90,1250,588,129,48750,45015,45960
Peugeot,e 3008 97 kWh,C,5,500,194,2241,512,8.7,96.9,135,1200,588,106,52850,49915,48660
Peugeot,e 208 MY20 21,B,5,270,171,1530,294,8.1,46.3,78,0,265,119,30450,34900,27225
Volvo,ES90 Single Motor MY26,F,5,485,181,2410,584,6.6,88.0,170,1600,468,152,71990,69995,69150
Opel,Frontera Electric 54 kWhOpel,B,5,290,184,1610,298,13.0,53.5,70,550,460,108,31190,32499,25995
Mini,Cooper SEMini Cooper SE,B,4,330,149,1680,356,6.7,49.2,75,0,200,117,36900,38990,34500
Hyundai,IONIQ 5 Long Range,C,5,390,190,2010,492,7.3,74.0,200,1600,584,132,47900,52895,46945
BYD,DOLPHIN 60 4 kWh,C,5,350,173,1733,354,7.0,60.48,75,0,345,101,34640,37190,30205
BMW,iX1 xDrive30 MY26 BMW,C,5,390,167,2085,419,5.6,65.2,95,1200,490,148,56600,59874,49495
Tesla,Model 3 Long Range,D,5,580,136,1822,688,5.2,79.0,120,1000,682,83,45970,45990,44990
Hyundai,Kona Electric 64 8,B,5,385,168,1790,379,8.1,64.8,70,750,493,106,41340,39995,0
Smart,EQ fortwo coupeSmart EQ,A,2,100,167,1095,71,11.6,16.7,0,0,260,241,21940,24885,22225
MG,MG4 Electric 77 kWh,C,5,425,175,1826,454,6.5,74.4,110,500,363,103,45990,42970,36745
Volvo,C40 Recharge Single Motor,C,5,420,188,2095,454,7.3,79.0,110,1500,450,128,54450,52995,0
Hyundai,Kona Electric 39 kWh,B,5,245,160,1610,223,9.9,39.2,37,0,332,149,36400,35495,32450
XPENG,G9 RWD Long Range,E,5,480,192,2365,619,6.4,92.2,330,1500,731,135,63600,65990,0
Hyundai,IONIQ ElectricHyundai IONIQ Electric,C,5,190,147,1495,225,9.9,28.0,65,0,350,173,33300,33995,27250
Volkswagen,ID 3 1stVolkswagen ID,C,5,350,166,1794,375,7.3,58.0,82,0,385,113,38987,37990,35880
KGM,Torres EVX 80 6,C,5,400,198,2000,403,8.2,79.0,95,1500,839,103,0,41250,0
Porsche,Cayenne Electric MY26 Porsche,E,5,520,208,2600,668,4.8,108.0,290,3000,871,199,105200,110122,83200
Jeep,Avenger ElectricJeep Avenger Electric,B,5,310,164,1595,330,9.0,50.8,79,0,355,122,38500,34995,34800
Peugeot,e 5008 73 kWhPeugeot,D,7,370,197,2260,388,9.7,73.0,90,1000,348,140,51250,48415,48660
Dacia,Spring Electric 70Dacia Spring,A,4,165,145,1094,163,12.3,24.0,35,0,342,108,16900,18000,15990
Hyundai,IONIQ 6 Standard Range,D,5,335,149,1850,418,8.8,50.0,120,750,446,134,43900,45895,0
firefly,fireflyfirefly firefly Available to,B,5,240,172,1542,256,8.1,41.2,65,0,496,125,0,29900,0
KGM,Torres EVX MY24 25,C,5,370,195,1979,368,8.1,72.0,85,1500,839,113,41990,41250,36995
Kia,EV4 Fastback 81 4,C,5,495,158,1900,518,7.7,78.0,105,1000,490,92,47140,44595,39395
Tesla,Model S AWD MY26,F,5,590,161,2167,667,3.2,95.0,140,1600,798,188,110970,110990,0
Citroën,ë C4Citroen e C4,C,5,290,160,1636,318,9.7,46.3,78,0,380,125,34875,37205,31960
Citroën,ë C3 Aircross Extended,B,5,290,184,1607,298,13.0,53.5,70,550,460,101,30690,29800,23495
BMW,i4 M60 xDriveBMW i4,D,5,465,175,2285,523,3.7,81.3,130,1600,470,167,72900,78971,71000
Polestar,5 Dual MotorPolestar 5,F,4,580,183,2462,698,3.9,106.0,210,1800,427,197,118600,121900,89500
Hyundai,IONIQ 6 Long Range,D,5,440,168,2095,568,5.1,74.0,200,1500,416,135,61100,59395,50550
Zeekr,7X Privilege AWD MY25,D,5,485,198,2535,625,3.8,96.0,260,2000,581,134,65950,63990,0
Tesla,Model 3 Standard Range,D,5,350,150,1825,412,5.6,52.5,95,1000,649,136,45560,49990,40990
Dacia,Spring Electric 100Dacia Spring,A,4,160,150,1111,160,9.6,24.0,35,0,342,123,18700,20800,16990
Ford,Explorer Standard Range RWD,C,5,335,173,1996,353,8.0,58.0,1,1000,532,118,39900,38950,0
Toyota,bZ4X AWD MY22 24,C,5,345,186,2070,377,6.9,64.0,100,750,452,154,50490,52995,48625
Lucid,Gravity Grand Touring MY26,F,7,615,200,2759,729,3.6,123.0,210,2500,1,193,116900,119900,0
Volkswagen,e Up Volkswagen e,A,4,205,158,1248,188,11.9,32.3,30,0,250,136,29995,25850,24085
Opel,Corsa e MY22 23,B,5,295,157,1530,321,8.1,46.3,78,0,267,127,36395,36999,33930
BMW,i7 xDrive60BMW i7 xDrive60,F,5,510,199,2715,564,4.7,101.7,159,2000,500,272,139900,145453,113970
Hyundai,IONIQ 5 Long Range,C,5,385,192,2120,484,5.1,74.0,200,1600,551,154,59200,60995,50445
Mazda,MX 30Mazda MX 30,C,5,170,176,1720,167,9.7,30.0,32,0,366,212,35990,36440,31250
MG,IM5 Long RangeMG IM5,D,5,530,182,2210,677,4.9,96.5,250,0,475,98,0,0,44995
TOGG,T10X Long Range RWDTOGG,C,5,440,193,2173,469,7.8,85.0,115,0,441,91,40118,0,0
Volkswagen,ID Buzz LWB ProVolkswagen,N,7,390,221,2628,432,7.9,86.0,145,1000,1,159,62719,54990,59395
Hyundai,IONIQ 5 Standard Range,C,5,295,183,1905,367,8.5,54.0,140,750,588,162,43900,49295,43445
Kia,EV6 Long Range 2WDKia,C,5,455,176,2050,565,7.3,80.0,205,1800,542,111,49990,49495,45585
Ford,Capri Extended Range RWD,D,5,470,168,2098,526,6.4,79.0,135,1000,572,103,51400,45750,0
Polestar,4 Long Range Dual,E,5,485,194,2430,524,3.8,94.0,135,2000,541,152,71200,72800,66990
Volvo,EX30 Single Motor MY24,B,5,275,178,1840,306,5.7,49.0,80,1000,325,137,39790,34995,33060
BMW,iX xDrive45BMW iX xDrive45,E,5,470,202,2525,490,5.1,94.8,115,2500,500,182,83500,86403,75305
XPENG,G9 AWD Performance MY25,E,5,465,198,2470,600,4.2,92.2,330,1500,731,160,72600,75990,0
Volvo,EX40 Single Motor ER,C,5,400,198,2075,436,7.3,79.0,110,1500,441,133,55490,48995,48010
BYD,DOLPHIN SURF 43 2,B,4,270,160,1445,283,12.1,43.2,60,0,308,95,26990,24990,21950
Leapmotor,C10 RWD 81 9,D,5,410,200,2130,439,6.6,81.9,120,1500,467,103,41900,42550,0
